Name,Ticker,Earth Pillar,Twitter handle,Twitter Id
DOMINION ENERGY,D,39.13%,DominionEnergy,82653001
DOMINO'S PIZZA,DPZ,1.26%,Dominos,31444922
DOVER CORP,DOV,34.25%,DoverCorp,602108840
DOW,DOW,26.86%,DowChemical,1.09865E+18
D R HORTON,DHI,0.00%,DRHorton,113137199
DTE ENERGY CO,DTE,40.59%,dte_energy,56693003
DUKE ENERGY CORP,DUK,31.38%,DukeEnergy,81192849
DUKE REALTY CORP,DRE,0.00%,DukeRealty,2615571337
DUPONT DE NEMOURS,DD,36.51%,dupont_news,24054721
DXC TECHNOLOGY CO,DXC,55.54%,DXCTechnology,599689553
EASTMAN CHEMICAL CO,EMN,40.39%,EastmanChemCo,76979060
EATON CORPORATION PLC,ETN,58.44%,EatonCorp,19032584
EBAY,EBAY,60.32%,eBay,19709040
ECOLAB,ECL,55.59%,Ecolab,250684710
EDISON INTERNATIONAL,EIX,37.12%,edisonintl,304573348
EDWARDS LIFESCIENCES CORP,EW,56.23%,EdwardsLifesci,3040464564
ESTEE LAUDER COMPANIES,EL,70.66%,ELCompanies,316477952
EMERSON ELECTRIC CO,EMR,29.50%,Emerson_News,62622531
ENPHASE ENERGY,ENPH,3.92%,Enphase,250395496
ENTERGY CORP,ETR,32.59%,Entergy,34407641
EPAM SYSTEMS,EPAM,2.52%,EPAMSystems,26640695
EQUIFAX,EFX,27.84%,Equifax,268020193
EQUINIX,EQIX,39.62%,Equinix,29336816
EQUITY RESIDENTIAL,EQR,44.40%,EquityRes,351035923
ESSEX PROPERTY TRUST,ESS,45.48%,EssexApartments,25462882
COOPER COMPANIES,COO,3.42%,etn_electrical,60679847
ETSY,ETSY,61.44%,Etsy,11522502
EVEREST RE GROUP LTD,RE,28.60%,Everest_Re,172720073
EVERGY,EVRG,22.74%,EvergyPower,9.91152E+17
EVERSOURCE ENERGY,ES,51.45%,EversourceCorp,19933146
EXELON CORP,EXC,28.74%,exelon,62643747
EXPEDITORS INTERNATIONAL OF WASHINGTON,EXPD,56.75%,EXPDNewsflash,
EXPEDIA GROUP,EXPE,52.22%,ExpediaGroup,56421139
EXTRA SPACE STORAGE,EXR,38.22%,Extraspace,17379892
EXXON MOBIL CORP,XOM,33.58%,ExxonMobil,36665547
F5,FFIV,47.67%,F5,15136500
FACTSET RESEARCH SYSTEMS,FDS,49.73%,FactSet,17473062
FASTENAL CO,FAST,9.36%,FastenalCompany,109268832
FORTUNE BRANDS HOME & SECURITY,FBHS,44.03%,FBHS_News,384573981
FEDERAL REALTY INVESTMENT TRUST,FRT,46.96%,FederalRealty,76672941
FEDEX CORP,FDX,48.29%,FedEx,134887156
FIFTH THIRD BANCORP,FITB,64.05%,fifththird,231213589
